"","brand","brand_quality"
"1","[brand::]ArcAngel",0
"2","[brand::]AzureMeat",1
"3","[brand::]AzureStone",0
"4","[brand::]AzureWorks",0
"5","[brand::]BertWear",0
"6","[brand::]BigStone",0
"7","[brand::]Blend&Woven",0
"8","[brand::]BlueRidge",0
"9","[brand::]BlueRiver Co.",0
"10","[brand::]BoxMix",0
"11","[brand::]BuilderStyles",0
"12","[brand::]CanvasCraft",0
"13","[brand::]ChillCube",0
"14","[brand::]CityBrief",0
"15","[brand::]CloudNine",0
"16","[brand::]CoralAndFin",0
"17","[brand::]CoralTrend",0
"18","[brand::]DarkHarbor",0
"19","[brand::]DocMan",0
"20","[brand::]DotDash",0
"21","[brand::]EchoStyles",0
"22","[brand::]FlashBack",0
"23","[brand::]FlatField",0
"24","[brand::]ForestFoot",0
"25","[brand::]FrontlineStyles",0
"26","[brand::]FuelThreads",0
"27","[brand::]GateStyles",1
"28","[brand::]GeoStyles",0
"29","[brand::]HarborTrend",1
"30","[brand::]HatMasters",0
"31","[brand::]HighClass",0
"32","[brand::]IslandLife",0
"33","[brand::]IsleWear",0
"34","[brand::]IvyCraft",0
"35","[brand::]KickStar",0
"36","[brand::]LakeStyles",0
"37","[brand::]LookSee",0
"38","[brand::]LunarLuxe",0
"39","[brand::]MeadowMaster",0
"40","[brand::]MetalMold",0
"41","[brand::]MetroMaven",0
"42","[brand::]MoonWear",0
"43","[brand::]MysticLoaf",0
"44","[brand::]NordicFit",0
"45","[brand::]NullLabel",0
"46","[brand::]OceanSketch Elite",0
"47","[brand::]OldVine Styles",0
"48","[brand::]OliveSlate",0
"49","[brand::]OrchardM",0
"50","[brand::]PeakStyles",0
"51","[brand::]PedalPrime",0
"52","[brand::]PineAndFern",0
"53","[brand::]PlaidCrafters",0
"54","[brand::]PureDenim",1
"55","[brand::]PuzzleWear",0
"56","[brand::]RavenBeach",1
"57","[brand::]RavenRock",1
"58","[brand::]RefreshStyles",0
"59","[brand::]ReinStyles",0
"60","[brand::]RhythmWear",0
"61","[brand::]RosePath",0
"62","[brand::]SilkLeaf",0
"63","[brand::]SkyGuard",0
"64","[brand::]SkyWing",0
"65","[brand::]Skyward",0
"66","[brand::]SnowPeak",0
"67","[brand::]SoftTrend",0
"68","[brand::]SpeedThreads",0
"69","[brand::]StarHub Threads",1
"70","[brand::]StreamStride",0
"71","[brand::]TargetStyles",0
"72","[brand::]TimelessMan",0
"73","[brand::]TulipTread",0
"74","[brand::]TurboTrend",0
"75","[brand::]UrbanAce",0
"76","[brand::]UrbanZen",1
"77","[brand::]VisionMakers",0
"78","[brand::]VolcanoWear",0
"79","[brand::]WillowWalk",0
"80","[brand::]WineThread",0
"81","[brand::]WitchHazel",0
"82","[brand::]WorldSight",0
"83","[brand::]ZenithMan",1
"84",NA,0
